dd,Month,Product Category,Sales,Location
183,2022-04-01,Fresh Bakery,206,fail_road
184,2022-04-01,Gen Merch Scan Data Sales,421,fail_road
185,2022-04-01,JW European Cafe,431,fail_road
186,2022-04-01,Lottery Instant Tickets,196,fail_road
187,2022-04-01,Lottery ITVM Instant Tickets,357,fail_road
188,2022-04-01,Lottery Online Sales,277,fail_road
189,2022-04-01,Manual Fuel Radiant,437,fail_road
190,2022-04-01,Money Orders Radiant,130,fail_road
191,2022-04-01,Money Transfers,417,fail_road
192,2022-04-01,No Scan Merch Radiant,218,fail_road
193,2022-04-01,Novelty,395,fail_road
194,2022-04-01,Phone Card Fee,171,fail_road
195,2022-04-01,Supplies-retail,70,fail_road
196,2022-05-01,Cigarettes,143,fail_road
197,2022-05-01,Other Tobacco,57,fail_road
198,2022-05-01,Beer,192,fail_road
199,2022-05-01,Wine,233,fail_road
200,2022-05-01,Packaged Beverages-nonalcoh,94,fail_road
201,2022-05-01,Candy,397,fail_road
202,2022-05-01,Fluid Milk Products,190,fail_road
203,2022-05-01,Other Dairy Deli,244,fail_road
204,2022-05-01,Pkg Sand Other Products,283,fail_road
205,2022-05-01,Packaged Ice Cream Novelty,259,fail_road
206,2022-05-01,Frozen Foods,164,fail_road
207,2022-05-01,Packaged Bread Comm Bakery,249,fail_road
208,2022-05-01,Salty Snacks,238,fail_road
209,2022-05-01,Packaged Sweet Snacks,168,fail_road
210,2022-05-01,Alternative Snacks,259,fail_road
211,2022-05-01,Fresh Foods - Perish Groc,225,fail_road
212,2022-05-01,Edible Grocery,125,fail_road
213,2022-05-01,Non-edible Grocery,76,fail_road
214,2022-05-01,Health And Beauty Care,351,fail_road
215,2022-05-01,General Merchandise,468,fail_road
216,2022-05-01,Publications,457,fail_road
217,2022-05-01,Automotive Products,106,fail_road
218,2022-05-01,Store Services Fee Income,268,fail_road
219,2022-05-01,Store Services Fee Inc Tax,262,fail_road
220,2022-05-01,Ice Bags,316,fail_road
221,2022-05-01,Hot Dispensed Beverages,182,fail_road
222,2022-05-01,Cold Dispensed Beverages,249,fail_road
223,2022-05-01,Frozen Dispensed Beverages,205,fail_road
224,2022-05-01,Car Wash Sls,196,fail_road
225,2022-05-01,Car Wash Vending Sales,348,fail_road
226,2022-05-01,Chilled Bev Fee,103,fail_road
227,2022-05-01,Coupons,440,fail_road
228,2022-05-01,Cravins To Order,159,fail_road
229,2022-05-01,CTO Ing Shelf Stable,78,fail_road
230,2022-05-01,Fe Gift Cards Radiant,380,fail_road
231,2022-05-01,Floral,470,fail_road
232,2022-05-01,Fresh Bakery,220,fail_road
233,2022-05-01,Gen Merch Scan Data Sales,280,fail_road
234,2022-05-01,JW European Cafe,241,fail_road
235,2022-05-01,Lottery Instant Tickets,301,fail_road
236,2022-05-01,Lottery ITVM Instant Tickets,372,fail_road
237,2022-05-01,Lottery Online Sales,451,fail_road
238,2022-05-01,Manual Fuel Radiant,85,fail_road
239,2022-05-01,Money Orders Radiant,154,fail_road
240,2022-05-01,Money Transfers,122,fail_road
241,2022-05-01,No Scan Merch Radiant,301,fail_road
242,2022-05-01,Novelty,164,fail_road
243,2022-05-01,Phone Card Fee,154,fail_road
244,2022-05-01,Supplies-retail,399,fail_road
245,2022-06-01,Cigarettes,472,fail_road
246,2022-06-01,Other Tobacco,205,fail_road
247,2022-06-01,Beer,351,fail_road
248,2022-06-01,Wine,319,fail_road
249,2022-06-01,Packaged Beverages-nonalcoh,259,fail_road
250,2022-06-01,Candy,242,fail_road
251,2022-06-01,Fluid Milk Products,471,fail_road
252,2022-06-01,Other Dairy Deli,131,fail_road
253,2022-06-01,Pkg Sand Other Products,159,fail_road
254,2022-06-01,Packaged Ice Cream Novelty,167,fail_road
255,2022-06-01,Frozen Foods,278,fail_road
256,2022-06-01,Packaged Bread Comm Bakery,87,fail_road
257,2022-06-01,Salty Snacks,376,fail_road
258,2022-06-01,Packaged Sweet Snacks,277,fail_road
259,2022-06-01,Alternative Snacks,185,fail_road
260,2022-06-01,Fresh Foods - Perish Groc,105,fail_road
261,2022-06-01,Edible Grocery,182,fail_road
262,2022-06-01,Non-edible Grocery,105,fail_road
263,2022-06-01,Health And Beauty Care,205,fail_road
264,2022-06-01,General Merchandise,178,fail_road
265,2022-06-01,Publications,56,fail_road
266,2022-06-01,Automotive Products,268,fail_road
267,2022-06-01,Store Services Fee Income,354,fail_road
268,2022-06-01,Store Services Fee Inc Tax,62,fail_road
269,2022-06-01,Ice Bags,294,fail_road
270,2022-06-01,Hot Dispensed Beverages,122,fail_road
271,2022-06-01,Cold Dispensed Beverages,198,fail_road
272,2022-06-01,Frozen Dispensed Beverages,458,fail_road
273,2022-06-01,Car Wash Sls,379,fail_road
274,2022-06-01,Car Wash Vending Sales,332,fail_road
275,2022-06-01,Chilled Bev Fee,304,fail_road
276,2022-06-01,Coupons,63,fail_road
277,2022-06-01,Cravins To Order,317,fail_road
278,2022-06-01,CTO Ing Shelf Stable,125,fail_road
279,2022-06-01,Fe Gift Cards Radiant,339,fail_road
280,2022-06-01,Floral,286,fail_road
281,2022-06-01,Fresh Bakery,398,fail_road
282,2022-06-01,Gen Merch Scan Data Sales,271,fail_road
283,2022-06-01,JW European Cafe,385,fail_road
284,2022-06-01,Lottery Instant Tickets,481,fail_road
285,2022-06-01,Lottery ITVM Instant Tickets,195,fail_road
286,2022-06-01,Lottery Online Sales,163,fail_road
287,2022-06-01,Manual Fuel Radiant,332,fail_road
288,2022-06-01,Money Orders Radiant,356,fail_road
289,2022-06-01,Money Transfers,478,fail_road
290,2022-06-01,No Scan Merch Radiant,377,fail_road
291,2022-06-01,Novelty,364,fail_road
292,2022-06-01,Phone Card Fee,191,fail_road
293,2022-06-01,Supplies-retail,307,fail_road
294,2022-07-01,Cigarettes,392,fail_road
295,2022-07-01,Other Tobacco,427,fail_road
296,2022-07-01,Beer,161,fail_road
297,2022-07-01,Wine,399,fail_road
298,2022-07-01,Packaged Beverages-nonalcoh,105,fail_road
299,2022-07-01,Candy,291,fail_road
300,2022-07-01,Fluid Milk Products,257,fail_road
301,2022-07-01,Other Dairy Deli,353,fail_road
302,2022-07-01,Pkg Sand Other Products,471,fail_road
303,2022-07-01,Packaged Ice Cream Novelty,485,fail_road
304,2022-07-01,Frozen Foods,204,fail_road
305,2022-07-01,Packaged Bread Comm Bakery,75,fail_road
306,2022-07-01,Salty Snacks,401,fail_road
307,2022-07-01,Packaged Sweet Snacks,390,fail_road
308,2022-07-01,Alternative Snacks,95,fail_road
309,2022-07-01,Fresh Foods - Perish Groc,145,fail_road
310,2022-07-01,Edible Grocery,302,fail_road
311,2022-07-01,Non-edible Grocery,62,fail_road
312,2022-07-01,Health And Beauty Care,275,fail_road
313,2022-07-01,General Merchandise,268,fail_road
314,2022-07-01,Publications,430,fail_road
315,2022-07-01,Automotive Products,469,fail_road
316,2022-07-01,Store Services Fee Income,223,fail_road
317,2022-07-01,Store Services Fee Inc Tax,157,fail_road
318,2022-07-01,Ice Bags,173,fail_road
319,2022-07-01,Hot Dispensed Beverages,262,fail_road
320,2022-07-01,Cold Dispensed Beverages,378,fail_road
321,2022-07-01,Frozen Dispensed Beverages,241,fail_road
322,2022-07-01,Car Wash Sls,158,fail_road
323,2022-07-01,Car Wash Vending Sales,296,fail_road
324,2022-07-01,Chilled Bev Fee,267,fail_road
325,2022-07-01,Coupons,437,fail_road
326,2022-07-01,Cravins To Order,417,fail_road
327,2022-07-01,CTO Ing Shelf Stable,274,fail_road
328,2022-07-01,Fe Gift Cards Radiant,288,fail_road
329,2022-07-01,Floral,213,fail_road
330,2022-07-01,Fresh Bakery,326,fail_road
331,2022-07-01,Gen Merch Scan Data Sales,52,fail_road
332,2022-07-01,JW European Cafe,108,fail_road
333,2022-07-01,Lottery Instant Tickets,221,fail_road
334,2022-07-01,Lottery ITVM Instant Tickets,199,fail_road
335,2022-07-01,Lottery Online Sales,492,fail_road
336,2022-07-01,Manual Fuel Radiant,432,fail_road
337,2022-07-01,Money Orders Radiant,498,fail_road
338,2022-07-01,Money Transfers,317,fail_road
339,2022-07-01,No Scan Merch Radiant,397,fail_road
340,2022-07-01,Novelty,480,fail_road
341,2022-07-01,Phone Card Fee,94,fail_road
342,2022-07-01,Supplies-retail,240,fail_road
343,2022-08-01,Cigarettes,282,fail_road
344,2022-08-01,Other Tobacco,73,fail_road
345,2022-08-01,Beer,119,fail_road
346,2022-08-01,Wine,120,fail_road
347,2022-08-01,Packaged Beverages-nonalcoh,397,fail_road
348,2022-08-01,Candy,60,fail_road
349,2022-08-01,Fluid Milk Products,158,fail_road
350,2022-08-01,Other Dairy Deli,357,fail_road
351,2022-08-01,Pkg Sand Other Products,324,fail_road
352,2022-08-01,Packaged Ice Cream Novelty,93,fail_road
353,2022-08-01,Frozen Foods,433,fail_road
354,2022-08-01,Packaged Bread Comm Bakery,432,fail_road
355,2022-08-01,Salty Snacks,466,fail_road
356,2022-08-01,Packaged Sweet Snacks,142,fail_road
357,2022-08-01,Alternative Snacks,341,fail_road
358,2022-08-01,Fresh Foods - Perish Groc,307,fail_road
359,2022-08-01,Edible Grocery,463,fail_road
360,2022-08-01,Non-edible Grocery,382,fail_road
361,2022-08-01,Health And Beauty Care,385,fail_road
362,2022-08-01,General Merchandise,171,fail_road
363,2022-08-01,Publications,56,fail_road
364,2022-08-01,Automotive Products,390,fail_road
365,2022-08-01,Store Services Fee Income,269,fail_road
366,2022-08-01,Store Services Fee Inc Tax,445,fail_road
367,2022-08-01,Ice Bags,216,fail_road
368,2022-08-01,Hot Dispensed Beverages,134,fail_road
369,2022-08-01,Cold Dispensed Beverages,493,fail_road
370,2022-08-01,Frozen Dispensed Beverages,116,fail_road
371,2022-08-01,Car Wash Sls,98,fail_road
372,2022-08-01,Car Wash Vending Sales,470,fail_road
373,2022-08-01,Chilled Bev Fee,163,fail_road
374,2022-08-01,Coupons,102,fail_road
375,2022-08-01,Cravins To Order,139,fail_road
376,2022-08-01,CTO Ing Shelf Stable,195,fail_road
377,2022-08-01,Fe Gift Cards Radiant,277,fail_road
378,2022-08-01,Floral,123,fail_road
379,2022-08-01,Fresh Bakery,383,fail_road
380,2022-08-01,Gen Merch Scan Data Sales,125,fail_road
381,2022-08-01,JW European Cafe,348,fail_road
382,2022-08-01,Lottery Instant Tickets,82,fail_road
383,2022-08-01,Lottery ITVM Instant Tickets,498,fail_road
384,2022-08-01,Lottery Online Sales,314,fail_road
385,2022-08-01,Manual Fuel Radiant,78,fail_road
386,2022-08-01,Money Orders Radiant,155,fail_road
387,2022-08-01,Money Transfers,448,fail_road
388,2022-08-01,No Scan Merch Radiant,262,fail_road
389,2022-08-01,Novelty,280,fail_road
390,2022-08-01,Phone Card Fee,253,fail_road
391,2022-08-01,Supplies-retail,367,fail_road
392,2022-09-01,Cigarettes,126,fail_road
393,2022-09-01,Other Tobacco,77,fail_road
394,2022-09-01,Beer,197,fail_road
395,2022-09-01,Wine,105,fail_road
396,2022-09-01,Packaged Beverages-nonalcoh,364,fail_road
397,2022-09-01,Candy,70,fail_road
398,2022-09-01,Fluid Milk Products,147,fail_road
399,2022-09-01,Other Dairy Deli,76,fail_road
400,2022-09-01,Pkg Sand Other Products,382,fail_road
401,2022-09-01,Packaged Ice Cream Novelty,321,fail_road
402,2022-09-01,Frozen Foods,447,fail_road
403,2022-09-01,Packaged Bread Comm Bakery,418,fail_road
404,2022-09-01,Salty Snacks,124,fail_road
405,2022-09-01,Packaged Sweet Snacks,152,fail_road
406,2022-09-01,Alternative Snacks,275,fail_road
407,2022-09-01,Fresh Foods - Perish Groc,352,fail_road
408,2022-09-01,Edible Grocery,383,fail_road
409,2022-09-01,Non-edible Grocery,133,fail_road
410,2022-09-01,Health And Beauty Care,173,fail_road
411,2022-09-01,General Merchandise,495,fail_road
412,2022-09-01,Publications,156,fail_road
413,2022-09-01,Automotive Products,459,fail_road
414,2022-09-01,Store Services Fee Income,394,fail_road
415,2022-09-01,Store Services Fee Inc Tax,211,fail_road
416,2022-09-01,Ice Bags,206,fail_road
417,2022-09-01,Hot Dispensed Beverages,292,fail_road
418,2022-09-01,Cold Dispensed Beverages,488,fail_road
419,2022-09-01,Frozen Dispensed Beverages,64,fail_road
420,2022-09-01,Car Wash Sls,350,fail_road
421,2022-09-01,Car Wash Vending Sales,88,fail_road
422,2022-09-01,Chilled Bev Fee,241,fail_road
423,2022-09-01,Coupons,332,fail_road
424,2022-09-01,Cravins To Order,338,fail_road
425,2022-09-01,CTO Ing Shelf Stable,327,fail_road
426,2022-09-01,Fe Gift Cards Radiant,221,fail_road
427,2022-09-01,Floral,255,fail_road
428,2022-09-01,Fresh Bakery,464,fail_road
429,2022-09-01,Gen Merch Scan Data Sales,185,fail_road
430,2022-09-01,JW European Cafe,467,fail_road
431,2022-09-01,Lottery Instant Tickets,438,fail_road
432,2022-09-01,Lottery ITVM Instant Tickets,132,fail_road
433,2022-09-01,Lottery Online Sales,434,fail_road
434,2022-09-01,Manual Fuel Radiant,299,fail_road
435,2022-09-01,Money Orders Radiant,131,fail_road
436,2022-09-01,Money Transfers,257,fail_road
437,2022-09-01,No Scan Merch Radiant,96,fail_road
438,2022-09-01,Novelty,262,fail_road
439,2022-09-01,Phone Card Fee,178,fail_road
440,2022-09-01,Supplies-retail,476,fail_road
441,2022-10-01,Cigarettes,146,fail_road
442,2022-10-01,Other Tobacco,318,fail_road
443,2022-10-01,Beer,372,fail_road
444,2022-10-01,Wine,332,fail_road
445,2022-10-01,Packaged Beverages-nonalcoh,463,fail_road
446,2022-10-01,Candy,144,fail_road
447,2022-10-01,Fluid Milk Products,168,fail_road
448,2022-10-01,Other Dairy Deli,429,fail_road
449,2022-10-01,Pkg Sand Other Products,486,fail_road
450,2022-10-01,Packaged Ice Cream Novelty,121,fail_road
451,2022-10-01,Frozen Foods,89,fail_road
452,2022-10-01,Packaged Bread Comm Bakery,276,fail_road
453,2022-10-01,Salty Snacks,482,fail_road
454,2022-10-01,Packaged Sweet Snacks,118,fail_road
455,2022-10-01,Alternative Snacks,175,fail_road
456,2022-10-01,Fresh Foods - Perish Groc,125,fail_road
457,2022-10-01,Edible Grocery,437,fail_road
458,2022-10-01,Non-edible Grocery,380,fail_road
459,2022-10-01,Health And Beauty Care,102,fail_road
460,2022-10-01,General Merchandise,246,fail_road
461,2022-10-01,Publications,135,fail_road
462,2022-10-01,Automotive Products,55,fail_road
463,2022-10-01,Store Services Fee Income,141,fail_road
464,2022-10-01,Store Services Fee Inc Tax,63,fail_road
465,2022-10-01,Ice Bags,202,fail_road
466,2022-10-01,Hot Dispensed Beverages,421,fail_road
467,2022-10-01,Cold Dispensed Beverages,255,fail_road
468,2022-10-01,Frozen Dispensed Beverages,368,fail_road
469,2022-10-01,Car Wash Sls,349,fail_road
470,2022-10-01,Car Wash Vending Sales,310,fail_road
471,2022-10-01,Chilled Bev Fee,421,fail_road
472,2022-10-01,Coupons,279,fail_road
473,2022-10-01,Cravins To Order,441,fail_road
474,2022-10-01,CTO Ing Shelf Stable,136,fail_road
475,2022-10-01,Fe Gift Cards Radiant,363,fail_road
476,2022-10-01,Floral,249,fail_road
477,2022-10-01,Fresh Bakery,169,fail_road
478,2022-10-01,Gen Merch Scan Data Sales,367,fail_road
479,2022-10-01,JW European Cafe,300,fail_road
480,2022-10-01,Lottery Instant Tickets,203,fail_road
481,2022-10-01,Lottery ITVM Instant Tickets,161,fail_road
482,2022-10-01,Lottery Online Sales,470,fail_road
483,2022-10-01,Manual Fuel Radiant,260,fail_road
484,2022-10-01,Money Orders Radiant,498,fail_road
485,2022-10-01,Money Transfers,131,fail_road
486,2022-10-01,No Scan Merch Radiant,356,fail_road
487,2022-10-01,Novelty,484,fail_road
488,2022-10-01,Phone Card Fee,141,fail_road
489,2022-10-01,Supplies-retail,373,fail_road
490,2022-11-01,Cigarettes,204,fail_road
491,2022-11-01,Other Tobacco,429,fail_road
492,2022-11-01,Beer,464,fail_road
493,2022-11-01,Wine,378,fail_road
494,2022-11-01,Packaged Beverages-nonalcoh,407,fail_road
495,2022-11-01,Candy,237,fail_road
496,2022-11-01,Fluid Milk Products,396,fail_road
497,2022-11-01,Other Dairy Deli,168,fail_road
498,2022-11-01,Pkg Sand Other Products,411,fail_road
499,2022-11-01,Packaged Ice Cream Novelty,320,fail_road
500,2022-11-01,Frozen Foods,466,fail_road
501,2022-11-01,Packaged Bread Comm Bakery,317,fail_road
502,2022-11-01,Salty Snacks,479,fail_road
503,2022-11-01,Packaged Sweet Snacks,209,fail_road
504,2022-11-01,Alternative Snacks,155,fail_road
505,2022-11-01,Fresh Foods - Perish Groc,320,fail_road
506,2022-11-01,Edible Grocery,165,fail_road
507,2022-11-01,Non-edible Grocery,73,fail_road
508,2022-11-01,Health And Beauty Care,93,fail_road
509,2022-11-01,General Merchandise,459,fail_road
510,2022-11-01,Publications,202,fail_road
511,2022-11-01,Automotive Products,402,fail_road
512,2022-11-01,Store Services Fee Income,417,fail_road
513,2022-11-01,Store Services Fee Inc Tax,112,fail_road
514,2022-11-01,Ice Bags,260,fail_road
515,2022-11-01,Hot Dispensed Beverages,489,fail_road
516,2022-11-01,Cold Dispensed Beverages,102,fail_road
517,2022-11-01,Frozen Dispensed Beverages,302,fail_road
518,2022-11-01,Car Wash Sls,126,fail_road
519,2022-11-01,Car Wash Vending Sales,329,fail_road
520,2022-11-01,Chilled Bev Fee,219,fail_road
521,2022-11-01,Coupons,126,fail_road
522,2022-11-01,Cravins To Order,60,fail_road
523,2022-11-01,CTO Ing Shelf Stable,116,fail_road
524,2022-11-01,Fe Gift Cards Radiant,202,fail_road
525,2022-11-01,Floral,85,fail_road
526,2022-11-01,Fresh Bakery,360,fail_road
527,2022-11-01,Gen Merch Scan Data Sales,272,fail_road
528,2022-11-01,JW European Cafe,165,fail_road
529,2022-11-01,Lottery Instant Tickets,486,fail_road
530,2022-11-01,Lottery ITVM Instant Tickets,237,fail_road
531,2022-11-01,Lottery Online Sales,187,fail_road
532,2022-11-01,Manual Fuel Radiant,397,fail_road
533,2022-11-01,Money Orders Radiant,96,fail_road
534,2022-11-01,Money Transfers,257,fail_road
535,2022-11-01,No Scan Merch Radiant,406,fail_road
536,2022-11-01,Novelty,296,fail_road
537,2022-11-01,Phone Card Fee,266,fail_road
538,2022-11-01,Supplies-retail,496,fail_road
